g_loss,d_loss
"[3641643.0, 2014.7521, 994763.94, 4155434.0, 6988605.0]",[1.0709105e+02 3.3000000e-02]
"[4311183.0, 2014.7623, 1544021.6, 5144927.0, 7681654.5]",[62.5  0.5]
"[3893074.5, 2014.7623, 1135218.6, 4509859.5, 7331829.5]",[62.5  0.5]
"[3489800.5, 2014.7623, 1118983.5, 4019380.5, 6494297.5]",[62.5  0.5]
"[3600417.5, 2014.7623, 1133613.1, 4230087.0, 6637684.5]",[62.5  0.5]
"[3697085.0, 2014.7623, 1182470.2, 4297815.5, 6843324.0]",[62.5  0.5]
"[3767791.0, 2014.7623, 1052496.2, 4212126.0, 7294674.0]",[62.5  0.5]
"[3901711.0, 2014.7623, 1203068.6, 4451072.0, 7351555.5]",[62.5  0.5]
"[3902221.5, 2014.7623, 1151413.6, 4515281.5, 7340702.5]",[62.5  0.5]
"[3457124.0, 2014.7623, 1067722.9, 3997108.2, 6458908.0]",[62.5  0.5]
"[3750938.5, 2014.7623, 1131270.5, 4339436.0, 7032414.5]",[62.5  0.5]
"[3455357.0, 2014.7623, 1063697.2, 3935724.5, 6518428.5]",[62.5  0.5]
"[3718177.2, 2014.7623, 1058576.5, 4284363.0, 7050977.5]",[62.5  0.5]
"[3433751.5, 2014.7623, 1001271.75, 4018772.0, 6425787.5]",[62.5  0.5]
"[3391354.5, 2014.7623, 1022270.06, 3917726.5, 6364511.5]",[62.5  0.5]
"[3157777.0, 2014.7623, 933933.5, 3656558.8, 5935423.5]",[62.5  0.5]
"[3252395.5, 2014.7623, 973242.1, 3749348.0, 6118720.5]",[62.5  0.5]
"[4294164.0, 2014.7623, 1238542.5, 4722825.5, 8352505.5]",[62.5  0.5]
"[3462664.5, 2014.7623, 983585.56, 3980873.0, 6577749.0]",[62.5  0.5]
"[3612712.5, 2014.7623, 991855.2, 4135033.5, 6915479.0]",[62.5  0.5]
"[3407444.0, 2014.7623, 959039.25, 3851346.2, 6547754.0]",[62.5  0.5]
"[3732411.5, 2014.7623, 1045365.56, 4145174.2, 7250825.0]",[62.5  0.5]
"[3437584.0, 2014.7623, 1030111.56, 3949153.0, 6479341.5]",[62.5  0.5]
"[3485383.5, 2014.7623, 943771.44, 3934109.0, 6740057.0]",[62.5  0.5]
"[3807604.5, 2014.7623, 1125844.9, 4338909.0, 7227254.0]",[62.5  0.5]
"[3672433.5, 2014.7623, 1003871.1, 4177714.2, 7059852.5]",[62.5  0.5]
"[3544481.8, 2014.7623, 976432.6, 4062556.2, 6775943.0]",[62.5  0.5]
"[3336299.5, 2014.7623, 952216.06, 3805723.8, 6363051.0]",[62.5  0.5]
"[3548647.0, 2014.7623, 1005283.06, 4055968.0, 6767564.5]",[62.5  0.5]
"[3492288.0, 2014.7623, 978417.8, 4050505.0, 6612030.0]",[62.5  0.5]
"[3348467.5, 2014.7623, 998492.25, 3845987.2, 6317071.0]",[62.5  0.5]
"[3268995.5, 2014.7623, 890166.06, 3768537.8, 6237940.0]",[62.5  0.5]
"[3640037.5, 2014.7623, 1110058.0, 4177987.0, 6845406.0]",[62.5  0.5]
"[3325739.5, 2014.7623, 875374.44, 3767103.0, 6443313.0]",[62.5  0.5]
"[3310750.0, 2014.7623, 909599.56, 3743671.5, 6382555.5]",[62.5  0.5]
"[3338992.0, 2014.7623, 920578.94, 3758738.0, 6450648.5]",[62.5  0.5]
"[3221166.0, 2014.7623, 910975.1, 3692180.2, 6134057.5]",[62.5  0.5]
"[3167711.0, 2014.7623, 876524.6, 3582949.2, 6099555.0]",[62.5  0.5]
"[3444997.8, 2014.7623, 1025380.5, 3982675.5, 6475262.5]",[62.5  0.5]
"[3270620.5, 2014.7623, 951729.6, 3784185.2, 6166146.5]",[62.5  0.5]
"[3364607.2, 2014.7623, 880172.25, 3774484.0, 6560694.0]",[62.5  0.5]
"[3227021.5, 2014.7623, 911808.3, 3716166.0, 6128757.0]",[62.5  0.5]
"[3420363.0, 2014.7623, 962987.6, 3873574.2, 6564640.0]",[62.5  0.5]
"[3488227.8, 2014.7623, 970898.9, 4020329.2, 6636190.5]",[62.5  0.5]
"[3362093.5, 2014.7623, 914795.0, 3790092.2, 6502084.0]",[62.5  0.5]
"[2897820.5, 2014.7623, 847992.6, 3295548.0, 5515853.5]",[62.5  0.5]
"[3269991.0, 2014.7623, 944211.7, 3806040.0, 6149711.0]",[62.5  0.5]
"[3275002.0, 2014.7623, 903508.25, 3697783.5, 6315374.0]",[62.5  0.5]
"[3390453.0, 2014.7623, 946007.44, 3882558.2, 6472937.0]",[62.5  0.5]
"[3567732.2, 2014.7623, 1038314.0, 4095054.2, 6759065.0]",[62.5  0.5]
"[3315512.8, 2014.7623, 932599.94, 3844128.5, 6274973.5]",[62.5  0.5]
"[3167621.0, 2014.7623, 888656.25, 3626347.0, 6043727.0]",[62.5  0.5]
"[3584680.2, 2014.7623, 919564.7, 4013670.2, 7015692.5]",[62.5  0.5]
"[3331936.0, 2014.7623, 961076.1, 3755611.8, 6389757.5]",[62.5  0.5]
"[3380872.0, 2014.7623, 904992.0, 3826208.5, 6538365.5]",[62.5  0.5]
"[3223005.8, 2014.7623, 916540.6, 3694296.0, 6132509.0]",[62.5  0.5]
"[3130430.0, 2014.7623, 892073.6, 3682994.2, 5859691.5]",[62.5  0.5]
"[3003813.0, 2014.7623, 879671.3, 3516861.0, 5616170.5]",[62.5  0.5]
"[3045068.0, 2014.7623, 831768.7, 3506152.0, 5812299.0]",[62.5  0.5]
"[3338484.5, 2014.7623, 942988.4, 3849956.0, 6335330.5]",[62.5  0.5]
"[3575856.0, 2014.7623, 1015550.4, 4100493.8, 6803468.5]",[62.5  0.5]
"[3919411.5, 2014.7623, 1083570.9, 4518684.5, 7462442.5]",[62.5  0.5]
"[3654485.5, 2014.7623, 1003050.25, 4246654.5, 6931906.0]",[62.5  0.5]
"[3334164.8, 2014.7623, 955311.56, 3852178.8, 6306385.0]",[62.5  0.5]
"[3565842.5, 2014.7623, 983827.06, 4117238.8, 6785069.5]",[62.5  0.5]
"[2987658.0, 2014.7623, 935386.3, 3473645.5, 5549821.5]",[62.5  0.5]
"[3124410.5, 2014.7623, 890065.3, 3564320.5, 5960308.0]",[62.5  0.5]
"[3361582.0, 2014.7623, 879425.8, 3804042.0, 6521799.0]",[62.5  0.5]
"[3550302.5, 2014.7623, 991933.2, 4044252.2, 6798149.5]",[62.5  0.5]
"[3484254.5, 2014.7623, 980207.94, 3913968.2, 6719998.0]",[62.5  0.5]
"[3265603.2, 2014.7623, 917408.6, 3700727.2, 6267201.0]",[62.5  0.5]
"[3642426.5, 2014.7623, 1072483.2, 4205009.5, 6863922.0]",[62.5  0.5]
"[3140798.5, 2014.7623, 926777.9, 3633781.8, 5908761.0]",[62.5  0.5]
"[3051509.2, 2014.7623, 903378.06, 3505899.2, 5762413.0]",[62.5  0.5]
"[3752699.0, 2014.7623, 1007365.7, 4272393.5, 7229229.5]",[62.5  0.5]
"[3649510.8, 2014.7623, 1011051.56, 4109798.0, 7044178.5]",[62.5  0.5]
"[3161523.5, 2014.7623, 917508.4, 3632217.5, 5988679.5]",[62.5  0.5]
"[3185076.0, 2014.7623, 899291.8, 3648444.5, 6069176.5]",[62.5  0.5]
"[3578662.0, 2014.7623, 1030741.8, 4042658.2, 6855466.0]",[62.5  0.5]
"[3567851.0, 2014.7623, 959640.5, 4032910.8, 6900279.0]",[62.5  0.5]
"[2945448.5, 2014.7623, 836984.9, 3329244.5, 5651925.0]",[62.5  0.5]
"[3262684.5, 2014.7623, 952264.44, 3753761.2, 6169582.0]",[62.5  0.5]
"[3487599.8, 2014.7623, 976921.75, 3980696.2, 6667707.5]",[62.5  0.5]
"[3381160.2, 2014.7623, 919690.8, 3833600.2, 6517236.0]",[62.5  0.5]
"[3158653.0, 2014.7623, 902888.8, 3595918.5, 6030028.5]",[62.5  0.5]
"[3460575.0, 2014.7623, 1007907.9, 4013115.5, 6514219.0]",[62.5  0.5]
"[3132922.0, 2014.7623, 840477.5, 3552456.0, 6050132.5]",[62.5  0.5]
"[3391872.0, 2014.7623, 937615.0, 3907064.5, 6461553.5]",[62.5  0.5]
"[3390915.0, 2014.7623, 993184.94, 3832369.8, 6477487.5]",[62.5  0.5]
"[3230219.0, 2014.7623, 914299.6, 3688720.0, 6164370.5]",[62.5  0.5]
"[3661202.8, 2014.7623, 1004988.9, 4169834.2, 7029179.0]",[62.5  0.5]
"[3582960.8, 2014.7623, 933120.5, 4126762.0, 6883313.0]",[62.5  0.5]
"[3234229.0, 2014.7623, 913497.2, 3667965.5, 6199293.0]",[62.5  0.5]
"[3289653.0, 2014.7623, 935670.7, 3770026.5, 6259805.5]",[62.5  0.5]
"[3001411.0, 2014.7623, 897784.6, 3479634.5, 5627277.0]",[62.5  0.5]
"[3366404.0, 2014.7623, 888020.6, 3888328.2, 6444990.5]",[62.5  0.5]
"[3384362.0, 2014.7623, 923893.3, 3845373.2, 6511933.0]",[62.5  0.5]
"[3058045.0, 2014.7623, 879625.1, 3521973.0, 5791878.5]",[62.5  0.5]
"[3460212.5, 2014.7623, 938189.56, 3977458.5, 6618387.0]",[62.5  0.5]
"[3245953.5, 2014.7623, 905088.6, 3673842.8, 6240907.0]",[62.5  0.5]
"[3261948.0, 2014.7623, 871462.6, 3812156.0, 6189534.5]",[62.5  0.5]
"[3569408.0, 2014.7623, 1010775.94, 4015171.5, 6872072.0]",[62.5  0.5]
"[3585919.2, 2014.7623, 972541.0, 4083816.8, 6896699.0]",[62.5  0.5]
"[3412522.5, 2014.7623, 952654.9, 3841516.2, 6580896.5]",[62.5  0.5]
"[3399832.0, 2014.7623, 939927.7, 3907317.8, 6485520.5]",[62.5  0.5]
"[3203742.0, 2014.7623, 943070.8, 3651312.2, 6084749.5]",[62.5  0.5]
"[3378641.0, 2014.7623, 951060.44, 3855694.8, 6455374.5]",[62.5  0.5]
